individual,litter_id,sex,year,field_bdate,grid,growth,survived_200d,owner,Std.BD,Std.growth,Std.lynx,Std.hare.fall,Std.mustelid,Std.Cleth,z.density,z.cones,z.temp
1814,593,M,1989,1989-04-19,SU,-3.4,0,acquired territory,0.467965211,-2.20280331,-0.12832313,1.235568536,-1.018041451,0.610234544,-0.505948103,-1.36419297,-0.376888306
2298,593,M,1989,1989-04-19,SU,2,0,acquired territory,0.467965211,0.493210082,-0.12832313,1.235568536,-1.018041451,0.610234544,-0.505948103,-1.36419297,-0.376888306
2614,751,F,1990,1990-05-24,SU,1.5,0,not yet acquired territory,0.821527751,0.371373697,1.404900234,1.12069897,-0.985485852,-0.421636301,-0.346866408,-0.368086671,-0.923481549
2616,752,F,1990,1990-05-17,SU,0.9,0,not yet acquired territory,0.332388239,-0.177451003,1.404900234,1.12069897,-0.985485852,-0.421636301,-0.346866408,-0.368086671,-0.923481549
2728,735,F,1990,1990-05-11,SU,-1,0,acquired territory,-0.086874199,-1.915395885,1.404900234,1.12069897,-0.985485852,-0.421636301,-0.346866408,-0.368086671,-0.923481549
2754,727,F,1990,1990-05-20,SU,1.793103448,0,not yet acquired territory,0.542019459,0.639477717,1.404900234,1.12069897,-0.985485852,-0.421636301,-0.346866408,-0.368086671,-0.923481549
2842,669,M,1990,1990-05-12,KL,1.285714286,0,acquired territory,0.149711335,-0.697652371,1.404900234,1.12069897,-0.985485852,-0.421636301,-1.078642206,-0.022119114,-0.923481549
3138,741,F,1990,1990-05-04,SU,-1.304347826,1,acquired territory,-0.57601371,-2.193785225,1.404900234,1.12069897,-0.985485852,-0.421636301,-0.346866408,-0.368086671,-0.923481549
3232,602,F,1989,1989-04-22,SU,2.5,1,acquired territory,0.719659647,0.742840952,-0.12832313,1.235568536,-1.018041451,0.610234544,-0.505948103,-1.36419297,-0.376888306
3278,780,M,1991,1991-04-29,KL,1.833333333,0,not yet acquired territory,-0.383822607,-0.150836964,0.524112344,-0.307409141,-0.827311683,0.063949979,-1.364989257,-1.128059605,0.783018482
3286,840,M,1991,1991-05-06,SU,1.833333333,0,not yet acquired territory,0.587358957,-0.511781637,0.524112344,-0.307409141,-0.827311683,0.063949979,-0.346866408,-1.324467666,0.783018482
